"training_id","tender_id","department","category","location","estimated_value","final_contract_value","number_of_bidders","winning_vendor","vendor_specialization","is_specialized_for_tender","historical_win_rate","previous_tenders","previous_wins","vendor_a_bid","vendor_b_bid","vendor_c_bid","bid_similarity_percent","a_won_comparable_tenders","b_c_repeatedly_participated","comparable_tenders","average_comparable_price","current_price_vs_comparable_percent","network_relationship_strength","shared_tenders","regional_price_variation","market_price_increase","investigation_priority"
50,"TND-ML-00050","Municipal Corporation","Healthcare","Belagavi",133642576.39,167361855.82,8,"Vendor 050","Equipment Supply",True,80.85,47,38,165600835.60,165969238.03,168509706.28,81.95,8,True,11,128512520.79,30.23,0.80,17,7.03,3.92,72.19
51,"TND-ML-00051","Water Resources Department","Healthcare","Udupi",39617729.23,42068985.65,8,"Vendor 109","IT Services",False,73.53,68,50,41809041.14,42225191.67,42162876.39,75.10,6,False,11,34426338.50,22.20,0.55,11,1.96,2.53,56.63
52,"TND-ML-00052","Municipal Corporation","Bridge construction","Mysuru",150108405.16,172924557.33,3,"Vendor 009","Infrastructure",True,46.91,81,38,172498009.13,170361456.67,175377529.46,67.30,6,False,14,139331687.48,24.11,0.57,12,2.77,6.00,53.24
53,"TND-ML-00053","Water Resources Department","Infrastructure","Tumakuru",99018709.69,101698839.38,9,"Vendor 094","IT Services",False,66.67,42,28,100832356.72,101989614.45,101910970.86,56.54,3,False,5,94410359.62,7.72,0.25,7,0.65,5.14,36.10
54,"TND-ML-00054","Urban Development Department","Healthcare","Tumakuru",135183061.93,148411868.84,8,"Vendor 380","Infrastructure",True,88.10,42,37,147134293.10,147292820.01,150466266.23,85.52,7,True,14,113882649.51,30.32,0.81,15,4.90,2.80,73.18
55,"TND-ML-00055","Public Works Department","Road construction","Bengaluru",143459436.82,166044674.76,7,"Vendor 259","IT Services",True,62.67,75,47,166457053.57,165260816.29,164747929.87,86.51,9,True,15,125544136.37,32.26,0.76,15,2.96,4.57,75.30
56,"TND-ML-00056","Urban Development Department","Healthcare","Belagavi",120078156.98,139979199.73,7,"Vendor 097","Healthcare",True,45.07,71,32,138931196.10,138671438.59,138367534.35,79.07,7,True,19,111813403.41,25.19,0.76,15,7.03,8.12,62.85
57,"TND-ML-00057","Water Resources Department","Consulting","Davangere",91285797.12,109991758.49,7,"Vendor 491","Infrastructure",False,69.23,39,27,109239373.69,108256034.22,109436335.58,88.56,9,True,17,80894137.30,35.97,0.88,14,2.22,5.73,84.56
58,"TND-ML-00058","Public Works Department","Healthcare","Mangaluru",114862085.34,116076566.43,3,"Vendor 260","Consulting",False,53.23,62,33,115319324.82,117001866.64,115208312.20,57.01,4,False,19,100377521.99,15.64,0.40,8,5.09,7.32,39.98
59,"TND-ML-00059","Water Resources Department","Infrastructure","Tumakuru",118857874.53,124286064.78,6,"Vendor 259","Construction",True,40.00,10,4,124874511.53,124572587.59,122006607.69,63.58,4,False,9,106473112.98,16.73,0.37,6,0.21,6.50,41.89
60,"TND-ML-00060","Municipal Corporation","Consulting","Bengaluru",20743447.07,24860175.52,4,"Vendor 339","Equipment Supply",True,58.90,73,43,24480631.87,24697016.66,25028668.02,88.96,8,True,17,18814936.44,32.13,0.80,15,3.74,2.70,75.77
61,"TND-ML-00061","Water Resources Department","Healthcare","Mangaluru",78841807.42,103114554.15,3,"Vendor 332","Equipment Supply",True,42.86,98,42,102650717.89,101820916.55,103248389.83,87.51,9,True,15,74028684.15,39.29,0.89,17,0.59,2.33,82.98
62,"TND-ML-00062","Water Resources Department","Consulting","Udupi",21373404.02,22459606.23,5,"Vendor 195","Consulting",True,38.78,49,19,22095017.69,22257196.69,22473503.95,63.80,4,False,12,19482656.34,15.28,0.43,7,5.86,1.34,40.59
63,"TND-ML-00063","Urban Development Department","Consulting","Shivamogga",82968085.34,97208594.40,4,"Vendor 350","Healthcare",True,64.10,78,50,96518546.47,97541282.97,97626506.53,88.08,9,True,7,73342835.67,32.54,0.81,14,5.19,4.63,77.67
64,"TND-ML-00064","Public Works Department","Consulting","Ballari",61680715.98,59416283.25,4,"Vendor 017","IT Services",True,72.73,44,32,58740010.41,58688569.09,59849124.33,53.14,4,False,18,53326407.51,11.42,0.38,4,7.20,7.85,38.90
65,"TND-ML-00065","Water Resources Department","IT Services","Shivamogga",44941512.80,53166820.75,4,"Vendor 173","Consulting",True,46.15,13,6,53427558.70,52552051.77,52644536.75,82.85,8,True,11,40722135.99,30.56,0.65,13,5.55,7.76,69.62
66,"TND-ML-00066","Public Works Department","Infrastructure","Mysuru",174508796.68,210380888.00,9,"Vendor 459","Infrastructure",False,73.68,19,14,208924922.08,207834489.88,212997564.66,82.04,7,False,10,160107220.70,31.40,0.73,12,2.69,6.61,68.10
67,"TND-ML-00067","Water Resources Department","Healthcare","Davangere",190920600.35,241906576.65,9,"Vendor 449","Infrastructure",False,67.14,70,47,239213858.35,239225584.01,243540436.64,85.47,9,False,15,180756614.10,33.83,0.84,15,4.23,5.80,75.18
68,"TND-ML-00068","Municipal Corporation","Healthcare","Tumakuru",141922697.64,156027584.38,5,"Vendor 124","IT Services",True,30.95,84,26,153959051.33,154315312.26,157183399.13,68.04,5,False,12,131936059.85,18.26,0.45,7,0.94,7.31,40.71
69,"TND-ML-00069","Public Works Department","Road construction","Udupi",42921556.60,49852479.71,7,"Vendor 065","IT Services",True,44.05,84,37,49039432.74,50146277.87,49346122.91,76.10,6,False,11,40071119.45,24.41,0.63,13,4.75,8.23,55.37
70,"TND-ML-00070","Public Works Department","Healthcare","Shivamogga",146758955.36,164612889.24,9,"Vendor 144","IT Services",True,81.58,76,62,162219520.73,161766528.05,164023679.31,78.55,7,False,12,133117329.16,23.66,0.66,14,6.03,2.85,62.57
71,"TND-ML-00071","Public Works Department","Infrastructure","Mangaluru",158762308.35,183142421.64,9,"Vendor 012","Infrastructure",False,30.56,72,22,181996576.04,181595590.84,181892136.31,69.39,6,False,17,150759319.76,21.48,0.50,12,3.11,3.60,48.39
72,"TND-ML-00072","Public Works Department","Equipment Supply","Ballari",70988950.74,83809429.50,5,"Vendor 191","Infrastructure",True,57.97,69,40,83418256.99,84013407.82,82912157.11,95.19,10,False,7,60061222.23,39.54,0.90,18,5.84,8.05,80.90
73,"TND-ML-00073","Rural Development Department","Bridge construction","Davangere",140872071.46,157675067.83,10,"Vendor 223","IT Services",True,49.15,59,29,156951775.14,155389329.98,159716539.38,80.96,7,False,17,121167346.37,30.13,0.67,13,6.23,2.67,61.75
74,"TND-ML-00074","Municipal Corporation","Bridge construction","Shivamogga",48886594.38,50037269.09,7,"Vendor 129","Consulting",True,40.54,37,15,49321004.07,49108901.41,50517887.35,53.72,3,False,17,44973277.99,11.26,0.31,8,1.07,3.20,36.02
75,"TND-ML-00075","Municipal Corporation","IT Services","Shivamogga",95550598.30,103439401.04,4,"Vendor 075","Infrastructure",True,83.33,36,30,102916618.54,103472994.90,101589118.10,76.39,6,False,12,83526648.13,23.84,0.59,14,6.58,8.04,60.99
76,"TND-ML-00076","Urban Development Department","Equipment Supply","Hubballi",198904483.80,247941759.66,6,"Vendor 264","Consulting",True,46.00,100,46,246669689.74,245852256.48,251891421.41,92.77,8,True,16,181270477.89,36.78,0.89,18,5.14,2.74,82.17
77,"TND-ML-00077","Urban Development Department","Equipment Supply","Belagavi",90120987.16,91163759.07,3,"Vendor 432","Infrastructure",False,62.50,24,15,89822025.67,92347364.05,92882395.35,57.36,3,False,9,87071403.12,4.70,0.30,5,4.26,6.39,29.29
78,"TND-ML-00078","Urban Development Department","Equipment Supply","Ballari",191420611.35,227117838.61,5,"Vendor 496","IT Services",False,38.30,94,36,225795009.28,228354583.82,229323978.21,68.94,5,False,15,182306821.81,24.58,0.50,13,4.31,7.23,49.88
79,"TND-ML-00079","Water Resources Department","Infrastructure","Bengaluru",167443932.31,184960738.14,5,"Vendor 387","Healthcare",True,43.48,69,30,183335697.26,186689649.05,183541238.47,68.78,6,False,11,154520249.07,19.70,0.40,7,1.23,7.68,44.80
80,"TND-ML-00080","Municipal Corporation","Consulting","Mangaluru",67941945.94,80516411.57,9,"Vendor 312","Infrastructure",True,77.42,31,24,79214807.05,79008033.62,80046152.00,74.33,7,False,7,65872872.10,22.23,0.53,13,1.67,1.45,53.91
81,"TND-ML-00081","Water Resources Department","Healthcare","Tumakuru",195922043.64,216574928.37,9,"Vendor 403","Equipment Supply",True,70.89,79,56,214386755.94,217381100.19,213927007.27,60.18,4,False,16,184507521.19,17.38,0.37,5,7.61,3.46,44.38
82,"TND-ML-00082","Water Resources Department","Healthcare","Hubballi",189118517.52,184805569.30,5,"Vendor 188","Infrastructure",True,36.00,25,9,183354076.76,185213503.73,188108121.68,70.48,5,False,16,161599833.25,14.36,0.50,11,3.75,2.46,43.08
83,"TND-ML-00083","Municipal Corporation","Bridge construction","Bengaluru",26473568.50,32023828.20,4,"Vendor 485","Healthcare",False,40.23,87,35,31404358.81,32055281.92,31616167.01,82.57,8,True,9,24417711.17,31.15,0.70,15,7.25,3.94,68.86
84,"TND-ML-00084","Water Resources Department","Road construction","Mysuru",31481708.95,28970642.46,7,"Vendor 087","Equipment Supply",True,32.18,87,28,28489385.85,28989525.45,29417611.96,58.87,5,False,11,26585888.28,8.97,0.42,6,7.09,2.00,32.98
85,"TND-ML-00085","Rural Development Department","IT Services","Davangere",18820749.40,21738071.89,4,"Vendor 415","Equipment Supply",True,77.05,61,47,21750526.73,21675980.84,22103211.40,91.19,9,True,13,16025117.50,35.65,0.91,17,5.09,1.24,81.12
86,"TND-ML-00086","Municipal Corporation","Healthcare","Hubballi",135780565.69,157856686.04,10,"Vendor 391","Infrastructure",False,76.29,97,74,156037009.22,159741204.00,154863203.45,71.76,7,False,12,123789747.52,27.52,0.63,11,6.59,1.38,56.13
87,"TND-ML-00087","Municipal Corporation","Consulting","Mysuru",40101137.89,48262486.91,5,"Vendor 109","Construction",True,91.18,34,31,47613093.06,48080933.36,49183091.97,90.01,10,True,7,34483057.24,39.96,0.90,20,6.79,8.66,84.46
88,"TND-ML-00088","Municipal Corporation","Bridge construction","Shivamogga",36733734.88,44839328.27,7,"Vendor 365","Infrastructure",True,29.41,17,5,44862870.68,45351794.62,45320954.58,74.57,8,False,6,35080056.54,27.82,0.62,15,6.77,3.45,56.94
89,"TND-ML-00089","Rural Development Department","Infrastructure","Bengaluru",172083703.89,176959136.42,8,"Vendor 096","Consulting",False,68.18,22,15,175234422.96,177820484.12,176272499.60,66.84,5,False,17,156186351.65,13.30,0.46,11,4.12,6.54,44.78
90,"TND-ML-00090","Municipal Corporation","Bridge construction","Udupi",128969106.17,143398340.31,8,"Vendor 463","Construction",True,30.00,40,12,142979823.49,141553016.56,141963477.83,64.80,5,False,19,125194988.92,14.54,0.43,7,7.05,7.50,37.59
91,"TND-ML-00091","Urban Development Department","IT Services","Mangaluru",140144277.03,153724157.57,10,"Vendor 074","Consulting",True,76.92,13,10,151904644.59,151638695.24,153407146.26,85.89,8,True,19,119332524.12,28.82,0.76,15,0.82,6.96,69.98
92,"TND-ML-00092","Rural Development Department","Infrastructure","Belagavi",146496830.23,143723595.51,10,"Vendor 400","Healthcare",True,48.00,50,24,141674948.92,141050888.99,146109002.96,52.42,4,False,15,137036227.60,4.88,0.37,6,2.49,3.62,32.96
93,"TND-ML-00093","Municipal Corporation","Infrastructure","Davangere",79614324.69,81797567.66,10,"Vendor 473","IT Services",False,20.37,54,11,81984457.06,81294583.03,83021641.79,71.44,6,False,12,68731676.04,19.01,0.59,8,1.36,1.81,44.11
94,"TND-ML-00094","Public Works Department","Infrastructure","Mangaluru",31971563.79,30992713.14,10,"Vendor 178","Infrastructure",True,25.00,52,13,30379758.54,30620811.05,31463843.02,56.83,3,False,16,28265128.26,9.65,0.39,6,2.29,7.53,28.65
95,"TND-ML-00095","Water Resources Department","IT Services","Mysuru",17294747.06,19068055.39,10,"Vendor 478","Equipment Supply",False,48.48,33,16,18852380.34,18727304.51,18705342.10,79.37,6,False,19,15096235.76,26.31,0.66,14,7.09,4.05,58.90
96,"TND-ML-00096","Urban Development Department","IT Services","Shivamogga",167703606.06,197983036.81,6,"Vendor 054","Healthcare",False,92.86,28,26,196390158.76,200264060.27,201270097.60,89.57,8,True,8,144061003.28,37.43,0.82,18,4.31,2.14,89.63
97,"TND-ML-00097","Urban Development Department","Equipment Supply","Bengaluru",39112178.58,42433245.78,5,"Vendor 211","IT Services",True,83.33,24,20,42296424.76,41848539.90,43262379.97,62.85,5,False,13,35878283.40,18.27,0.48,8,1.10,6.41,47.77
98,"TND-ML-00098","Rural Development Department","Bridge construction","Shivamogga",115897942.28,150254082.25,8,"Vendor 089","Infrastructure",False,33.82,68,23,149703782.26,150782183.56,152293203.93,94.20,9,True,14,108549402.00,38.42,0.92,21,2.09,7.02,82.13
99,"TND-ML-00099","Municipal Corporation","Consulting","Tumakuru",38042742.69,46580717.16,9,"Vendor 160","Healthcare",False,76.19,21,16,46747833.27,45897222.11,46457146.23,94.07,9,True,18,34640229.91,34.47,0.92,17,5.98,3.80,80.06
100,"TND-ML-00100","Rural Development Department","Bridge construction","Hubballi",88963589.70,95533728.97,4,"Vendor 338","Infrastructure",True,43.55,62,27,93675619.04,94755377.37,96688815.00,59.40,2,False,15,85803600.66,11.34,0.27,3,0.23,4.49,31.02
101,"TND-ML-00101","Public Works Department","IT Services","Mysuru",87760489.50,84709767.73,5,"Vendor 445","IT Services",False,20.00,100,20,83592735.38,84417855.74,85887732.04,68.90,4,False,15,74306813.80,14.00,0.41,7,2.26,2.35,35.36
102,"TND-ML-00102","Municipal Corporation","Healthcare","Mangaluru",19164293.60,23561264.10,4,"Vendor 142","Equipment Supply",True,47.62,42,20,23111866.69,23266601.91,23367777.53,96.26,9,True,5,17260999.34,36.50,0.94,18,3.44,5.80,82.52
103,"TND-ML-00103","Urban Development Department","Equipment Supply","Mysuru",41390268.38,40427167.56,9,"Vendor 336","IT Services",True,76.92,13,10,40221881.72,40339482.30,40668643.44,60.98,5,False,12,36892834.06,9.58,0.34,6,2.37,7.86,42.35
104,"TND-ML-00104","Public Works Department","Bridge construction","Ballari",39531800.10,45343589.69,8,"Vendor 251","Construction",False,29.17,48,14,45516298.45,45959858.01,46127024.60,69.73,5,False,11,38534537.00,17.67,0.47,9,0.01,5.76,43.25
105,"TND-ML-00105","Public Works Department","Infrastructure","Mysuru",109246578.14,112742929.89,5,"Vendor 100","Construction",False,76.47,17,13,112127737.81,113421899.12,111267546.34,62.39,4,False,15,100135829.02,12.59,0.38,6,3.89,7.91,43.59
106,"TND-ML-00106","Water Resources Department","Bridge construction","Davangere",61163947.46,64655127.03,6,"Vendor 271","Construction",True,68.42,95,65,64279610.54,65326105.56,63562292.69,76.59,6,False,18,51877659.50,24.63,0.52,9,2.21,8.62,56.20
107,"TND-ML-00107","Water Resources Department","Road construction","Mangaluru",158370820.46,164620497.49,8,"Vendor 406","Healthcare",True,75.86,29,22,161546568.50,166435409.25,163031962.14,77.90,7,False,17,134263516.43,22.61,0.67,12,4.13,5.33,56.86
