estimated_value,final_contract_value,number_of_bidders,is_specialized_for_tender,historical_win_rate,previous_tenders,previous_wins,vendor_a_bid,vendor_b_bid,vendor_c_bid,bid_similarity_percent,a_won_comparable_tenders,b_c_repeatedly_participated,comparable_tenders,average_comparable_price,current_price_vs_comparable_percent,network_relationship_strength,shared_tenders,regional_price_variation,market_price_increase,price_dev_unexplained,price_dev_explained_by_market,winrate_unexplained,bid_similarity_unexplained,department_Public Works Department,department_Rural Development Department,department_Urban Development Department,department_Water Resources Department,category_Consulting,category_Equipment Supply,category_Healthcare,category_IT Services,category_Infrastructure,category_Road construction,location_Belagavi,location_Bengaluru,location_Davangere,location_Hubballi,location_Mangaluru,location_Mysuru,location_Shivamogga,location_Tumakuru,location_Udupi,vendor_specialization_Consulting,vendor_specialization_Equipment Supply,vendor_specialization_Healthcare,vendor_specialization_IT Services,vendor_specialization_Infrastructure,investigation_priority
10725371.0,10568686.33,3,1,44.12,34,15,10568686.33,11097546.91,11572011.59,96.93,5,1,16,10694292.06,-1.17,0.306,5,8.63,14.96,-0.0,-0.8751599999999999,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20.24
98838813.76,100484181.36,9,0,76.0,50,38,100484181.36,101293613.13,103935046.45,96.46,13,1,10,102557794.87,-2.02,0.409,7,9.88,14.26,-2.02,-1.4402599999999999,76.0,96.46,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,50.91
120377493.75,119302186.05,9,0,59.72,72,43,119302186.05,120799371.17,121038674.55,97.49,1,0,19,111669601.24,6.83,0.631,10,10.68,11.31,6.83,3.862365,59.72,97.49,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,65.26
266524974.63,277397497.27,10,0,82.54,63,52,277397497.27,278285347.94,278444532.06,97.12,7,0,18,271870433.43,2.03,0.015,0,3.76,5.35,2.03,0.5430249999999999,82.54,97.12,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,53.11
83441958.75,86395795.83,9,1,57.32,82,47,86395795.83,89225878.18,89610366.06,97.43,13,0,30,81710047.05,5.73,0.191,1,6.07,12.95,0.0,3.710175,0.0,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,24.1
230726120.24,234175139.95,7,0,58.82,68,40,234175139.95,239315016.17,246651221.96,97.55,7,0,28,224320645.65,4.39,0.878,15,4.83,12.23,4.39,2.684485,58.82,97.55,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,78.91
30005971.34,30698056.74,5,0,55.17,29,16,30698056.74,30892722.92,31234953.96,94.6,2,0,21,30787359.67,-0.29,0.877,17,7.17,11.35,-0.29,-0.164575,55.17,94.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,72.6
94277469.73,89235248.19,9,0,42.11,95,40,89235248.19,91482500.87,91719528.67,96.77,6,0,11,87316757.25,2.2,1.0,19,4.26,14.47,2.2,1.5917000000000001,42.11,96.77,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,73.91
158698704.16,142419533.73,8,0,29.27,82,24,142419533.73,146748125.93,151697128.06,97.31,7,0,27,156418646.2,-8.95,0.984,19,4.45,12.11,-8.95,-5.419224999999999,29.27,97.31,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,75.35
49652270.31,44222725.95,5,0,67.86,56,38,44222725.95,44717352.24,45915259.29,96.35,4,0,23,46939378.17,-5.79,1.0,19,10.86,0.41,-5.79,-0.11869499999999998,67.86,96.35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,100.0
73792525.34,76791032.85,6,0,52.63,19,10,76791032.85,78415517.58,78611548.63,98.26,2,0,18,76114662.6,0.89,1.0,19,9.06,3.73,0.89,0.165985,52.63,98.26,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,93.37
19652144.34,18697471.4,9,0,39.29,56,22,18697471.4,18802469.66,19084668.86,97.04,5,0,21,18598754.2,0.53,0.859,17,10.67,0.91,0.53,0.024115,39.29,97.04,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,82.77
13227929.73,12567229.82,8,0,55.26,76,42,12567229.82,12942848.99,12985106.76,97.93,3,0,9,13844153.7,-9.22,0.983,17,5.9,9.33,-9.22,-4.301130000000001,55.26,97.93,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,83.03
58006078.06,63951824.36,4,0,70.59,68,48,63951824.36,66980371.47,67050442.42,98.25,15,0,19,62061978.94,3.05,0.405,7,8.36,0.98,3.05,0.14945,70.59,98.25,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,74.19
293736670.1,285657974.93,4,0,64.79,71,46,285657974.93,290596523.45,290766696.79,99.28,13,0,11,279302767.49,2.28,0.592,9,2.49,11.45,2.28,1.3053,64.79,99.28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,68.89
62015740.84,56657811.72,7,0,70.59,68,48,56657811.72,57302537.54,58377152.88,91.75,5,0,17,57915447.46,-2.17,0.761,13,11.61,0.79,-2.17,-0.085715,70.59,91.75,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,82.05
46522880.66,43310528.72,6,0,52.08,48,25,43310528.72,45814443.11,46096706.19,95.39,4,0,15,50114091.32,-13.58,0.688,11,11.86,12.4,-13.58,-8.4196,52.08,95.39,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,54.68
78139887.13,76380474.71,3,0,35.63,87,31,76380474.71,79599035.76,80425466.91,97.95,3,0,25,80066360.81,-4.6,0.299,4,1.46,11.51,-4.6,-2.6473,35.63,97.95,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,42.51
8632850.99,8923522.71,9,0,33.82,68,23,8923522.71,8944903.37,9013917.82,96.77,6,0,30,7874300.22,13.32,0.266,4,5.8,5.56,13.32,3.7029599999999996,33.82,96.77,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,60.71
127324709.05,119047625.48,7,0,46.39,97,45,119047625.48,122293323.03,124089719.74,96.83,2,1,12,128381352.59,-7.27,0.995,17,4.17,2.42,-7.27,-0.87967,46.39,96.83,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,95.22
40622238.59,35808945.27,4,0,86.17,94,81,35808945.27,37408849.77,38281102.55,96.86,9,0,6,40681342.99,-11.98,0.891,15,1.81,9.73,-11.98,-5.828270000000001,86.17,96.86,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,93.3
23225767.88,21779585.16,5,0,32.0,25,8,21779585.16,22062166.2,22444914.9,96.44,2,0,18,24270488.15,-10.26,0.978,17,2.58,6.9,-10.26,-3.5397000000000003,32.0,96.44,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,84.71
45297254.16,42079175.29,9,0,54.39,57,31,42079175.29,42099583.77,42225043.53,97.01,13,0,25,43269831.37,-2.75,0.948,17,5.32,7.05,-2.75,-0.969375,54.39,97.01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,86.37
143711979.89,145344140.31,10,0,56.52,92,52,145344140.31,147195737.34,148575291.48,97.62,1,1,21,148362093.14,-2.03,0.113,2,10.64,10.14,-2.03,-1.02921,56.52,97.62,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,36.86
123927836.09,128356881.99,4,0,41.46,41,17,128356881.99,130552894.78,131159784.88,98.99,15,0,10,131629588.05,-2.49,0.987,17,2.67,6.23,-2.49,-0.7756350000000001,41.46,98.99,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,88.56
46557925.94,48456161.1,3,0,78.41,88,69,48456161.1,51063885.69,53063698.0,96.85,9,1,26,46652016.77,3.87,0.56,11,10.74,14.82,3.87,2.86767,78.41,96.85,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,61.12
12638363.94,12663851.37,4,0,48.28,87,42,12663851.37,12852291.71,13229350.52,96.93,9,0,21,13431678.81,-5.72,0.258,5,1.26,4.78,-5.72,-1.36708,48.28,96.93,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,52.91
69406944.11,68591885.78,3,0,53.49,43,23,68591885.78,71975736.57,76879963.12,95.96,13,0,6,71152660.0,-3.6,0.67,11,3.97,5.63,-3.6,-1.0133999999999999,53.49,95.96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,72.96
57550535.48,58318541.66,7,0,75.47,53,40,58318541.66,58652283.69,59157980.96,97.1,4,0,7,60742534.03,-3.99,0.631,10,1.11,0.2,-3.99,-0.039900000000000005,75.47,97.1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,93.86
58891884.62,60019486.58,5,0,61.97,71,44,60019486.58,60398387.84,60639838.24,97.02,9,0,21,55044769.06,9.04,0.841,15,9.99,10.62,9.04,4.800239999999999,61.97,97.02,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,80.76
50568643.73,46312966.25,6,0,29.27,82,24,46312966.25,46557120.14,47588626.91,96.69,7,0,14,50987337.62,-9.17,0.688,13,6.57,4.28,-9.17,-1.9623800000000002,29.27,96.69,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,70.39
22456119.95,23231531.3,9,0,55.42,83,46,23231531.3,23350475.39,23993463.21,97.78,11,1,14,23296298.75,-0.28,0.334,6,4.45,14.99,-0.28,-0.20986000000000005,55.42,97.78,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,44.98
46317456.7,41412064.71,9,0,63.64,11,7,41412064.71,41539118.19,41600921.34,94.3,6,0,14,48603689.59,-14.8,0.373,6,10.39,4.17,-14.8,-3.0858,63.64,94.3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,56.21
20773611.29,22077641.45,10,0,37.5,8,3,22077641.45,22158693.66,22165987.09,98.33,1,0,23,22324933.21,-1.11,0.687,13,1.69,6.71,-1.11,-0.37240500000000004,37.5,98.33,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,72.48
17323188.46,17243170.64,6,0,71.43,7,5,17243170.64,17775077.56,17818125.15,94.14,1,0,24,16593845.63,3.91,0.41,8,6.82,6.94,3.91,1.3567700000000003,71.43,94.14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,66.77
47733434.02,46124372.12,3,0,31.0,100,31,46124372.12,46908007.23,47200565.27,99.12,3,0,24,50548677.03,-8.75,0.444,6,3.2,12.16,-8.75,-5.32,31.0,99.12,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,47.86
12006900.16,11919297.93,9,0,90.0,80,72,11919297.93,12426626.21,12571034.64,97.09,3,0,13,11233662.08,6.1,0.919,18,7.67,4.27,6.1,1.3023499999999997,90.0,97.09,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100.0
60183667.94,58216366.11,8,0,42.11,19,8,58216366.11,58279762.24,58311518.74,96.14,1,0,27,56711217.6,2.65,0.512,10,9.3,14.58,2.65,1.9318499999999998,42.11,96.14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,48.04
90285792.32,92158723.35,4,0,54.02,87,47,92158723.35,97737419.61,100001832.77,94.65,4,0,27,84922236.3,8.52,0.492,7,1.47,3.29,8.52,1.40154,54.02,94.65,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,78.48
102485660.08,97326211.7,9,0,87.5,24,21,97326211.7,98301164.49,99254176.37,96.71,6,0,13,102498705.43,-5.05,0.413,6,6.62,2.4,-5.05,-0.606,87.5,96.71,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,75.2
4931672.59,5004375.99,9,0,40.0,95,38,5004375.99,5014666.53,5060438.68,97.44,12,0,11,4892208.8,2.29,0.379,5,4.41,3.25,2.29,0.37212500000000004,40.0,97.44,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,56.36
56195695.65,49618375.72,6,0,51.85,27,14,49618375.72,51401510.97,52559644.99,92.74,4,0,25,52505963.83,-5.5,0.142,2,5.65,13.15,-5.5,-3.61625,51.85,92.74,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,33.25
83986944.19,79504269.88,3,0,87.23,47,41,79504269.88,82265019.49,83920366.29,98.05,12,0,13,79671025.65,-0.21,0.232,4,8.73,7.2,-0.21,-0.0756,87.23,98.05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,58.49
72876985.6,73109800.69,7,0,40.48,84,34,73109800.69,78229418.08,78271856.76,97.24,11,0,28,66209689.93,10.42,0.823,14,5.0,8.97,10.42,4.67337,40.48,97.24,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,82.4
36891514.85,34938540.97,8,0,40.91,88,36,34938540.97,35180450.34,35726485.11,96.57,5,0,6,35483058.68,-1.53,0.29,4,11.1,14.74,-1.53,-1.12761,40.91,96.57,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,33.23
18616894.16,16574097.66,4,0,59.3,86,51,16574097.66,16938281.89,18071525.19,95.39,12,0,27,19394900.94,-14.54,0.632,11,6.38,4.88,-14.54,-3.54776,59.3,95.39,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,72.44
17379593.16,18028806.44,5,0,49.23,65,32,18028806.44,18475479.56,18948405.33,97.65,6,0,11,17337083.35,3.99,0.002,0,2.06,12.22,3.99,2.43789,49.23,97.65,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,35.86
145877833.67,141456145.99,8,0,56.25,32,18,141456145.99,145102593.87,146837303.58,98.07,11,0,13,149687239.35,-5.5,0.965,17,10.47,5.76,-5.5,-1.5839999999999999,56.25,98.07,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,84.26
23424492.46,23013038.49,4,0,42.86,49,21,23013038.49,23769735.94,23901776.91,98.2,4,1,15,22388343.86,2.79,0.392,6,9.55,12.82,2.79,1.7883900000000001,42.86,98.2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44.68
24563243.1,25041714.59,3,0,56.0,50,28,25041714.59,25693067.34,27047640.33,97.12,0,0,14,24764702.53,1.12,0.13,2,5.69,10.3,1.12,0.5768000000000001,56.0,97.12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,40.78
35254469.98,33923185.67,10,0,50.6,83,42,33923185.67,34320319.4,35119183.95,97.61,7,0,18,32153801.94,5.5,0.621,11,1.96,13.17,5.5,3.62175,50.6,97.61,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,66.7
66700478.31,62581713.83,10,1,50.0,46,23,62581713.83,62998991.88,63450115.65,96.47,6,0,5,63672406.39,-1.71,0.479,7,9.93,4.79,-0.0,-0.409545,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,30.99
32858313.1,29736855.92,4,0,32.79,61,20,29736855.92,31369090.19,32508675.82,96.19,13,0,25,34028544.65,-12.61,0.474,7,10.24,5.43,-12.61,-3.4236149999999994,32.79,96.19,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,51.12
34162935.61,34738996.91,6,1,71.43,7,5,34738996.91,35521440.14,36725055.43,97.67,2,0,22,31268367.46,11.1,1.0,20,10.81,2.18,0.0,1.2099000000000002,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,63.25
51295226.11,52887327.72,5,1,80.88,68,55,52887327.72,56258373.15,56858435.75,97.38,9,0,24,50907086.62,3.89,0.435,7,4.44,13.59,0.0,2.643255,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,34.7
66615973.77,63351152.96,5,0,42.65,68,29,63351152.96,64602126.51,66478951.9,97.58,15,0,14,67611693.7,-6.3,0.527,10,3.26,11.85,-6.3,-3.7327500000000002,42.65,97.58,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,55.08
53099341.39,54374016.08,4,0,78.43,51,40,54374016.08,55754838.29,61250114.84,94.66,15,0,22,53367230.18,1.89,0.34,6,4.05,8.51,1.89,0.804195,78.43,94.66,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,63.1
28453863.41,25665869.11,3,0,84.21,19,16,25665869.11,25775178.77,27188893.57,97.51,8,0,18,26657875.28,-3.72,0.017,0,10.8,8.5,-3.72,-1.581,84.21,97.51,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,43.19
124009690.69,111890008.53,6,0,71.43,63,45,111890008.53,114073622.08,117478013.77,96.73,5,0,13,129679297.19,-13.72,0.683,13,2.37,3.69,-13.72,-2.53134,71.43,96.73,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,89.62
75787098.24,68184485.84,9,0,68.18,22,15,68184485.84,69878254.68,72031682.78,96.75,2,1,5,75016024.17,-9.11,0.981,19,7.77,12.57,-9.11,-5.7256350000000005,68.18,96.75,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,80.01
27824686.58,27298536.89,9,0,33.33,27,9,27298536.89,27303696.91,27463191.3,96.98,2,0,18,25490277.82,7.09,0.687,11,3.8,3.43,7.09,1.215935,33.33,96.98,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,81.52
22995268.73,22682519.14,4,0,60.71,28,17,22682519.14,22772507.06,23924999.13,95.92,2,1,18,21848550.39,3.82,0.475,9,11.08,3.44,3.82,0.65704,60.71,95.92,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,67.71
46582499.09,42777643.35,5,0,73.33,30,22,42777643.35,44273299.31,45622013.42,97.72,5,0,16,47988243.82,-10.86,0.468,7,2.68,13.98,-10.86,-7.59114,73.33,97.72,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,58.39
122233790.48,126973806.45,5,0,72.94,85,62,126973806.45,127536741.0,132488747.74,96.5,15,0,25,123343909.94,2.94,0.2,4,1.47,14.74,2.94,2.1667799999999997,72.94,96.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,49.83
30079939.33,26712532.44,9,0,40.0,50,20,26712532.44,27046496.45,27716833.12,96.15,7,0,29,30528782.0,-12.5,0.297,4,2.62,12.98,-12.5,-8.1125,40.0,96.15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,39.16
45863335.74,46674846.34,6,1,62.5,8,5,46674846.34,48211260.7,48789170.84,97.2,3,0,24,43703685.69,6.8,0.19,1,10.03,8.27,0.0,2.8118,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,27.16
107437694.74,108962856.55,3,0,69.57,46,32,108962856.55,109493651.97,110592903.78,99.45,15,0,16,108718253.32,0.22,0.888,16,4.13,0.76,0.22,0.00836,69.57,99.45,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.0
22113841.98,20771589.48,7,0,35.09,57,20,20771589.48,21202876.73,21509287.3,96.58,15,1,22,22164120.66,-6.28,0.125,2,11.89,3.16,-6.28,-0.99224,35.09,96.58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,35.68
10079657.4,10632103.15,8,0,27.59,29,8,10632103.15,10905077.03,10992867.76,98.52,4,0,29,10698409.49,-0.62,0.791,15,3.49,0.33,-0.62,-0.010230000000000001,27.59,98.52,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,88.05
